"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"rt lameassnerd [[braxton]] curti [[hoe]] [[ass]] [[nigga]] [[wen]] see ima [[smack]] like [[da]] lil [[bitch]]","rt lameassnerd [[ruffin]] curti [[hos]] [[booty]] [[montenegro]] [[conquering]] see ima [[knocking]] like [[sono]] lil [[bimbo]]",0.0035648345947265625,0.4508141875267029,1,1,1,569,"Failed"
"frankiejgrande [[ew]] [[queer]] [[white]] [[thirsty]] [[bitch]]","frankiejgrande [[eeew]] [[mice]] [[polar]] [[insatiable]] [[vixen]]",0.005569279193878174,0.8482593894004822,1,0,1,129,"Successful"
"decodnlyfe lupefiasco larellj another black [[man]] anything monkey always monkey chicago idiot","decodnlyfe lupefiasco larellj another black [[mating]] anything monkey always monkey chicago idiot",0.15350663661956787,0.5406801104545593,1,0,1,62,"Successful"
"rtnba drakes new shoes released nikejordan yes theres glitter shoes dudes [[fag]]","rtnba drakes new shoes released nikejordan yes theres glitter shoes dudes [[cigarette]]",0.062389075756073,0.8180721998214722,1,0,1,60,"Successful"
"rt thadisreal ladies [[nigga]] always wan na go party [[every]] weekend basically side [[hoe]] shopping","rt thadisreal ladies [[nero]] always wan na go party [[each]] weekend basically side [[banging]] shopping",0.00973057746887207,0.686913013458252,1,0,1,116,"Successful"
"[[fuck]] wit us tweakin [[hoe]]","[[bordello]] wit us tweakin [[banging]]",0.004349768161773682,0.6835633516311646,1,0,1,116,"Successful"
"like really doubt even plays already [[got]] lot big man [[rotation]] [[committed]] bosh bird mcbob amp shawne","like really doubt even plays already [[had]] lot big man [[turned]] [[betrothed]] bosh bird mcbob amp shawne",0.06630772352218628,0.5300606489181519,0,1,0,157,"Successful"
"niggah niggah niggah [[dont]] believe wacthh","niggah niggah niggah [[gona]] believe wacthh",0.00783538818359375,0.010268747806549072,1,1,1,99,"Failed"
"rt harmonlauren jennas [[faggot]]","rt harmonlauren jennas [[fairy]]",0.004533290863037109,0.8985065221786499,1,0,1,53,"Successful"
"rt dignifiedpurity ive work chuckling time derekisnormal said revealing age keeps [[pussy]] fresh","rt dignifiedpurity ive work chuckling time derekisnormal said revealing age keeps [[poodle]] fresh",0.018199563026428223,0.9147747755050659,1,0,1,36,"Successful"
"rt terrywigley agggggie iphone [[bitch]]","rt terrywigley agggggie iphone [[prick]]",0.005806386470794678,0.8593809604644775,1,0,1,56,"Successful"
"alludraaie remember [[keep]] skirt dark [[colored]] camouflages pan dimensional [[gore]]","alludraaie remember [[conserve]] skirt dark [[hues]] camouflages pan dimensional [[aron]]",0.12392807006835938,0.6720229983329773,0,1,0,134,"Successful"
"[[freezing]] nips","[[whacked]] nips",0.40553194284439087,0.9679436683654785,0,1,0,39,"Successful"
"lmao [[niggas]] regionally picky [[hoes]] say anything twitter makes fun tho","lmao [[rappin]] regionally picky [[ducklings]] say anything twitter makes fun tho",0.006268441677093506,0.9154070019721985,1,0,1,108,"Successful"
"rt savannacurry yelling feelings self centered think [[bitches]]","rt savannacurry yelling feelings self centered think [[chickens]]",0.003514885902404785,0.8020600080490112,1,0,1,59,"Successful"
"[[trash]]","[[bullshit]]",0.21842998266220093,0.9744265675544739,0,1,0,50,"Successful"
"rt mcnarstle shes watchin [[eyes]] shes makin linguine [[amp]] clams body know","rt mcnarstle shes watchin [[eyeballs]] shes makin linguine [[ait]] clams body know",0.43663209676742554,0.7162628173828125,0,1,0,66,"Successful"
"rt espn yanks [[sox]] get together things usually go [[smoothly]] gt","rt espn yanks [[buccaneers]] get together things usually go [[discretely]] gt",0.3282214403152466,0.7452049255371094,0,1,0,102,"Successful"
"cuz redskins dumpster juice rt trackinblackkev [[game]] [[week]] still best rivalry [[sports]]","cuz redskins dumpster juice rt trackinblackkev [[blackjack]] [[yee]] still best rivalry [[jocks]]",0.1010059118270874,0.5909078121185303,0,1,0,159,"Successful"
"merry christmas [[bitches]]","merry christmas [[pansies]]",0.17313390970230103,0.92686927318573,1,0,1,54,"Successful"
